filepath,content_sha256,content_git,content_cid
.gitignore,d745c4a19615bfb49d7503db733e945377a60683bbb58dcdf60217e1fb9c4f2f,5c814587836dad4b8543cbf5043385a9152fe99f,Qma4MfMvWQbSYfnWwXh9rFHN8yry5UBrmUwwigk9xJ5FmU
CLAUDE.md,78705ac166555d3d5d5de8edcfd4f3995725ef3a17f941bc209a0a1ad033f451,2641ad5762a2012957c2a3c80696afa29d3e6c25,QmdVMuUUjHD59FRjsGBy3SC49uYhRoAeHBVzxPQVqsrsJS
LICENSE,30afd7c5987481adce84b01730d86e93ff517396d1a1baf93e756ea32b315445,1dcfe9bad4902dca835f5df6739e04064236c46a,QmT2uETZq6rpDPusjxEAWgqxVCouj6dPj6stZ9dh2UGAkz
README.md,db728c878f7dedd592c5f4e77399c350c9e428e5799e1bd72a25a37e2859b335,82e3c5ca31ece66f29c6177c598e59cc181a5567,QmWzr4zyYUanG9TyTeX3Au1cZpe2NZk5eZ3Xy2ReLmRVnz
bj001-excerpt.md,05be6b4d8d5267251c58a616a575e44915a368c8333baf8f1b587ff4d7080ce1,b440d2e53be6d8e7321dab91e474a0c93dee092e,Qmdi2mXohkm6m5D9QXNHyAz6qyK8vcSqLdRoZKJbQ5841r
bj001.md,c60ce525839e796a78364fe295c5c895267b436a3b8d99aaf296e09a298636d1,4cf7f12de8775335854d26f3b9ef9b1e8e477d4f,QmPGzqKP2kECDjCZg2J1R1DVQb9NZxUQ5R3hPsPVBrq45x
bj002.md,1d69e07c04d040ab4d835ca33e3aec6c9c609f6cb662e43c7070ec001b908ce9,a837bc13bffafea0c6ae71b75fdbabc2689944f1,QmfHaShYfMZ7KCiEDmsg93ALB7LSiZkouN4G7y6c2dKHbU
bj002ru.md,92d58d1c009b368cd243ac891cf0aa64aa66e3bf7327f19bd20294e63de9fcc2,a4a0ca11086923510cd5d3f190f26792d745a24e,Qmc9xqa2TEsMiMtCdbsH4NNMp7N2y38zWrCKvLY8dSm1yR
nu-cyjournal,,72e9f5cf7564591f5b78d904b372fbf4c072b318,
nu-cyjournal/cid-v0.nu,8bf167c04cae8521950e6a503368adcc2a8defba203788e124f792a5666fb160,28088d872e6bce2fe1454af84f32587ae30b5626,QmdWVYLkcKt4J7TS4fCLsBXYbwWA4j75FJCTFGaHcU7v4L
